Race,Population
White,"224,895,700"
Black,"37,978,752"
Asian,"14,185,493"
Native American/Pacific Islander,"491,673"
American Indian/Alaskan Native,"2,480,465"
Other,"16,603,808"
Multiracial,"7,329,381"
